frame_idx,timestamp_sec,smooth_x,jitter_x,smooth_y,jitter_y,smooth_z,jitter_z,jitter_magnitude
0,0.0,9.82584071371201,-3.695699878233055e-05,-0.405364243109429,-0.0064384361903706225,1.5999858077906024,0.008917719471958623,0.010999115736175484
1,0.0333333333333333,9.710213106547506,0.18140104328836967,-0.5230288846152243,-0.3834516801908234,1.8181165686007192,0.06433955825951759,0.4290467437288207
2,0.0666666666666666,9.59709110448511,0.6234123920437287,-0.630842978553312,-0.29183698367337885,2.021627702150017,0.009795323156389977,0.6884096047768348
3,0.1,9.489251181549589,1.0990169893033592,-0.7196574228837677,-0.1658272563539692,2.1962915916068564,-0.02309638111708533,1.111697110074507
4,0.1333333333333333,9.390786159707943,0.245079063326256,-0.783141931842187,-0.21264635800166753,2.331088148781768,0.14451608659361367,0.3552001128048543
5,0.1666666666666666,9.306601211209346,-0.9376531025504138,-0.8183106508709045,-0.03189738259033943,2.4192843080942463,0.24980780706861777,0.9708834761241758
6,0.2,9.241093091932099,-0.24923816462410792,-0.8253322577797804,0.22161018004935923,2.45892629112531,0.08314122852935596,0.34371965100656365
7,0.2333333333333333,9.196564162670997,-0.22861958331549093,-0.8067997176771183,0.14833247652892118,2.452659116330065,0.017420009980953926,0.2730803805041442
8,0.2666666666666666,9.172071089334093,-0.6914409349540901,-0.7667581880648701,0.21314497175308594,2.406897129152458,0.15453140746176142,0.7398657320121826
9,0.3,9.163232888839131,-0.1927622689639504,-0.7098025284694532,0.12382262384063103,2.3305000559419113,-0.08114592318079007,0.24305142533992977
10,0.3333333333333333,9.16316018053242,0.3104300138774648,-0.6404668076434482,-0.04480717410694022,2.2332251684815967,-0.4742849646645767,0.568612965095144
11,0.3666666666666666,9.16427428417101,0.41903545945275805,-0.5629823569440823,-0.07594420481725694,2.124293912838149,-0.32657372287030323,0.5366643597198151
12,0.4,9.160476742796254,0.25494342352339977,-0.48133956219908897,-0.1110037411134532,2.0113935561138367,-0.09886992462049171,0.29511564128909845
13,0.4333333333333333,9.14900599449497,0.6658018065489455,-0.39950136825421434,-0.042333472716415146,1.9003011597686503,0.14050311093042375,0.6817809712049742
14,0.4666666666666667,9.13142440344494,0.1286133949305934,-0.32160212542860456,-0.03151205617777679,1.7950980140299928,0.5262969280497916,0.5426996144413331
15,0.5,9.113467027898427,-0.34829411826151885,-0.25200787912379535,-0.034698094211194026,1.6987440651729975,0.16693920661387712,0.3877904708245531
16,0.5333333333333333,9.103839973526501,-0.3187175702257883,-0.19517923556803213,-0.002742651054784153,1.6137177678759875,-0.34000136706351036,0.46603577256525547
17,0.5666666666666667,9.112346682145521,-0.08780295331260465,-0.15533759364345984,-0.018640670273024684,1.5425205172204328,-0.21294117561601061,0.2310860823835389
18,0.6,9.147837052656772,0.012777383781587107,-0.1359795083745543,-0.04797541139945325,1.4879989555073647,0.014362254658357283,0.05168342088252537
19,0.6333333333333333,9.216405836442013,-0.1471700346871451,-0.13931422254978967,0.13729248012199458,1.4535188454813,0.20741807911449298,0.2890164420087719
20,0.6666666666666666,9.320106088559923,-0.18923442586630865,-0.16571945464719617,-0.05638883041688711,1.4429897816886261,0.2926220925410583,0.3530114122402328
21,0.7,9.456290144155286,0.17678050974767634,-0.21331888617503517,0.012804476236453876,1.4606732776165026,-0.04809422861377563,0.18365281937474393
22,0.7333333333333333,9.617576429284426,0.33223691974719877,-0.2777782731257842,0.14051249948167643,1.510708936530866,-0.3256449102539931,0.4859729837429504
23,0.7666666666666667,9.792365181990094,-0.12343785425959522,-0.35239759625755657,0.012193365725770637,1.5963739950920126,0.09598345336663147,0.1568387877794259
24,0.8,9.965808464807061,-0.31017761626008594,-0.4285472925704984,0.054314710494213554,1.7191739687796341,0.3711483691203824,0.4867354037930454
25,0.8333333333333334,10.121181891351117,-0.2489677438877366,-0.4964551458345036,0.12639755153738938,1.8778879886112418,0.055890212303484975,0.2847542701392294
26,0.8666666666666667,10.241642209313133,-0.29134008540024015,-0.5462949863210249,0.06319944633432091,2.067694945932,0.013485894874138616,0.2984209857542533
27,0.9,10.31229914709028,0.042143063293820324,-0.5694624504927985,-0.037706265588235054,2.2795557711114713,-0.3316316484884622,0.3364184158567608
28,0.9333333333333332,10.32236666968305,0.6777613894317946,-0.5598535953514108,-0.34228246361360737,2.500119530653959,-0.8339689589706386,1.1278395322156818
29,0.9666666666666668,10.266974487960608,0.9006050793393027,-0.5149078372513983,-0.07515237370137255,2.712457963834323,-0.6640442638013965,1.1214687568061097
30,1.0,10.148157048815978,-0.13365260700860218,-0.4361732743778524,-0.14588368210086047,2.897799750822615,0.3281631775324807,0.3831920395202844
31,1.0333333333333334,9.974698511555411,-0.45535277697855175,-0.32922630532806524,-0.17089659262942683,3.038103918821705,0.8479512188867073,0.9775341766331649
32,1.0666666666666669,9.760855644643168,0.028851211581925062,-0.20291424281879097,0.06847028997799086,3.118910898084254,0.7545396649944179,0.7581890787061651
33,1.1,9.524311803239957,-0.10073000313399942,-0.06804441928728665,0.10826636968281637,3.131685558158992,0.3485289130291807,0.37860341196689445
34,1.1333333333333333,9.283857573075261,-0.4221194847660902,0.06422805661713975,0.1512497642360254,3.0749961129928165,-0.1013970847778602,0.45972026211827044
35,1.1666666666666667,9.057239131170768,0.1716086941600018,0.18399201707133941,0.20499153239673543,2.9543014316120866,-0.46515763371943664,0.5365097356741334
36,1.2,8.859468893065351,0.2723865660273426,0.2838394039024876,0.23257157687205693,2.780601383807186,-0.6022461034962918,0.7007027535962659
37,1.2333333333333334,8.701745342081761,-0.4327037486625242,0.35956912517091233,-0.034489667672985815,2.5684918477642253,0.04371456178209406,0.4362717435207034
38,1.2666666666666666,8.591025487913452,-0.4445569912515069,0.41025665497268765,-0.2540332193536155,2.334160868443195,0.6701615134911336,0.8433743232814722
39,1.3,8.530231727897254,0.2880912804854374,0.43776181457557983,0.07746985436208141,2.0936593260132796,-0.013574664059090493,0.29863428425239164
