timestamp_ms,x,y,z
1778672357831,0.33518823981285095,9.950302124023438,0.2298433631658554
1778672357864,-0.31603461503982544,9.835380554199219,-0.15322890877723694
1778672357875,-0.12449848651885986,9.797073364257812,0.2777273952960968
1778672357902,-0.4118026793003082,9.806650161743164,-0.019153613597154617
1778672357915,-0.47884035110473633,9.873687744140625,-0.07661445438861847
1778672357949,-0.40222588181495667,9.892841339111328,0.2777273952960968
1778672357955,-0.49799394607543945,9.835380554199219,-0.09576806426048279
1778672357981,-0.4884171485900879,9.825803756713867,0.4596867263317108
1778672357995,-0.3926490843296051,9.873687744140625,-0.15322890877723694
1778672358022,-0.6129156351089478,9.998186111450195,0.17238251864910126
1778672358036,-0.4118026793003082,9.864110946655273,0.4213795065879822
1778672358063,-0.5937620401382446,9.825803756713867,-0.047884032130241394
1778672358075,-0.3256114423274994,9.806650161743164,0.24899697303771973
1778672358101,-0.35434186458587646,9.864110946655273,0.33518823981285095
1778672358116,-0.3734954595565796,9.921571731567383,0.2106897532939911
1778672358141,-0.2968810200691223,9.835380554199219,0.45010992884635925
1778672358156,-0.3447650372982025,9.835380554199219,-0.26815059781074524
1778672358183,-0.23942017555236816,9.950302124023438,0.5841852426528931
1778672358195,-0.12449848651885986,9.911994934082031,-0.10534487664699554
1778672358221,-0.22026655077934265,9.931148529052734,0.07661445438861847
1778672358236,-0.08619125932455063,9.854534149169922,0.2585737705230713
1778672358263,-0.4118026793003082,9.892841339111328,-0.12449848651885986
1778672358275,-0.19153612852096558,9.873687744140625,0.17238251864910126
1778672358303,-0.24899697303771973,9.921571731567383,-0.181959331035614
1778672358317,-0.5363011956214905,9.787496566772461,0.10534487664699554
1778672358342,-0.33518823981285095,9.873687744140625,0.35434186458587646
1778672358356,-0.3734954595565796,9.84495735168457,-0.019153613597154617
1778672358383,-0.5650315880775452,9.911994934082031,0.24899697303771973
1778672358397,-0.5267243981361389,9.90241813659668,-0.26815059781074524
1778672358423,-0.5171475410461426,9.873687744140625,0.14365209639072418
1778672358435,-0.6224924325942993,9.90241813659668,0.10534487664699554
