frame_idx,timestamp_sec,acc_x,acc_y,acc_z
0,0.0,9.825803756713867,-0.4118026793003082,1.6089035272598269
1,0.03333333333333333,9.891614149834957,-0.9064805648062304,1.8824561268567448
2,0.06666666666666667,10.220503496525987,-0.9226799622263893,2.0314230253025944
3,0.1,10.588268170848051,-0.8854846792368338,2.173195210486302
4,0.13333333333333333,9.635865223027514,-0.9957882898423135,2.4756042353730923
5,0.16666666666666666,8.368948108651168,-0.8502080334591463,2.669092115162656
6,0.2,8.991854927300333,-0.6037220777279919,2.5420675196573472
7,0.23333333333333334,8.967944579349549,-0.6584672411458125,2.470079126317105
8,0.26666666666666666,8.480630154377584,-0.5536132163099492,2.561428536623718
9,0.3,8.970470619878094,-0.5859799046281158,2.249354132773345
10,0.3333333333333333,9.473590194419499,-0.6852739817513711,1.7589402038304707
11,0.36666666666666664,9.58330974364059,-0.6389265617644319,1.7977201899802218
12,0.4,9.415420166342908,-0.5923433033178888,1.9125236315017153
13,0.43333333333333335,9.814807801071229,-0.4418348409779656,2.040804270700247
14,0.4666666666666667,9.260037798402822,-0.3531141816149377,2.321394942070867
15,0.5,8.765172909658586,-0.2867059733434635,1.865683271765972
16,0.5333333333333333,8.785122403310279,-0.19792188662944277,1.2737164007794521
17,0.5666666666666667,9.024543728823943,-0.17397826391922572,1.3295793415615695
18,0.6,9.160614436405844,-0.18395491977087053,1.502361210118196
19,0.6333333333333333,9.069235801696776,-0.00202174241725596,1.6609369245516055
20,0.6666666666666666,9.130871662612408,-0.22210828504557237,1.7356118741991189
21,0.7,9.63307065380675,-0.200514409912951,1.4125790489970682
22,0.7333333333333333,9.949813348934574,-0.13726577361398296,1.1850640263064662
23,0.7666666666666667,9.668927327652176,-0.3402042305016796,1.6923574485304305
24,0.8,9.655630848510327,-0.37423258205237,2.0903223380148552
25,0.8333333333333334,9.872214147491283,-0.37005759428657187,1.9337782010649767
26,0.8666666666666667,9.950302124023438,-0.48309553999662386,2.0811808409740924
27,0.9,10.354442210585118,-0.6071687161169287,1.947924122780805
28,0.9333333333333333,11.000128059398525,-0.9021360590291146,1.6661505717949054
29,0.9666666666666667,11.167579567638631,-0.5900602110423399,2.048413700058419
30,1.0,10.01450444215206,-0.5820569565848035,3.2259629282575393
31,1.0333333333333334,9.51934573485912,-0.5001228980644696,3.886055137462424
32,1.0666666666666667,9.789706856364118,-0.13444395292708422,3.873450562679906
